trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
338,False,"{'a': 0.4, 'e': 0.0010824643048977804}",25,14,20.54036740679173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.4, 'e': 0.0010608150187998249}",20,10,16.244293155336862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.4, 'e': 0.0010395987184238283}",20,6,27.031285647346866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.4, 'e': 0.0010188067440553518}",20,11,-6.665534858585598,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.4, 'e': 0.0009984306091742447}",30,8,37.355565133431206,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.4, 'e': 0.0009784619969907598}",30,14,27.140276858840387,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.4, 'e': 0.0009588927570509446}",25,0,40.033362215878924,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.4, 'e': 0.0009397149019099258}",20,6,24.796549435675633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.4, 'e': 0.0009209206038717272}",25,3,30.988086915400643,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.4, 'e': 0.0009025021917942927}",30,21,15.149011693195192,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.4, 'e': 0.0008844521479584068}",20,14,12.890486813198127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.4, 'e': 0.0008667631049992387}",25,7,34.93574673158653,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.4, 'e': 0.0008494278428992539}",30,8,37.50373957813833,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.4, 'e': 0.0008324392860412688}",20,7,19.518489769212334,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.4, 'e': 0.0008157905003204434}",25,11,27.380372809338752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.4, 'e': 0.0007994746903140346}",25,3,36.86809677790724,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
